%time,field.x,field.y,field.theta
517140000000,53.1262688944,9.85144409422,-2.90875390416
517240000000,53.0223491716,9.82624571193,-2.88444652852
517340000000,52.953391613,9.80816478015,-2.87205637846
517440000000,52.8503264475,9.77966629179,-2.85885800607
517540000000,52.7819359651,9.75954936894,-2.86123241537
517641000000,52.6792192411,9.72981888581,-2.87366207116
517740000000,52.6105034277,9.71083944263,-2.88567599637
517840000000,52.5069804946,9.6840543651,-2.90637143374
517940000000,52.4376541354,9.66744354305,-2.92171265508
518040000000,52.3331997337,9.6445606228,-2.94509654067
518140000000,52.2632828942,9.63064286093,-2.95976010089
518240000000,52.158056177,9.61162209152,-2.98006250518
518340000000,52.0877107022,9.60006353146,-2.99130799077
518440000000,51.9819814744,9.58406532719,-3.00480899907
518540000000,51.9113931859,9.57409903136,-3.00812136905
518640000000,51.8053907924,9.56003144892,-3.0031964104
518740000000,51.734754181,9.550411148,-2.99451267194
518840000000,51.6289862506,9.53467359232,-2.97838756671
518940000000,51.5586315045,9.52317262803,-2.96580489809
519040000000,51.4533961497,9.50420059144,-2.94581646681
519140000000,51.3834594744,9.49038319033,-2.93268432802
519240000000,51.2789004569,9.46798063113,-2.91414629378
519340000000,51.2094203528,9.45202475849,-2.90369139886
519440000000,51.1054939618,9.42684735253,-2.89080206876
519540000000,51.0363617539,9.40944552365,-2.88686666037
519640000000,50.9329286114,9.38231696934,-2.89045693918
519741000000,50.8639365916,9.36436717862,-2.89831559687
519840000000,50.7947894816,9.34702446518,-2.90796211968
519940000000,50.6733541307,9.31844139743,-2.92807211878
520040000000,50.5862562488,9.29960929673,-2.94393398485
520140000000,50.5163693137,9.28554172055,-2.95649199635
520240000000,50.411228128,9.2660519357,-2.97429231548
520340000000,50.3409550959,9.25406072297,-2.98493421432
520440000000,50.2353369919,9.23734400863,-2.99713211161
520540000000,50.1648364346,9.22677225292,-3.00070279953
520640000000,50.0589392031,9.21193496196,-2.9969958455
520740000000,49.9883593165,9.20190675646,-2.98928650552
520840000000,49.8826647822,9.18568253031,-2.9745194671
520940000000,49.8123506116,9.17393576406,-2.96282797636
521040000000,49.7071603168,9.1547143442,-2.94415655877
521140000000,49.6372418992,9.14080462857,-2.9317847224
521240000000,49.5326926328,9.11835593233,-2.9142339795
521340000000,49.4632071131,9.10242354315,-2.90434118478
521440000000,49.3592551562,9.07735156661,-2.89222958781
521540000000,49.2900989622,9.06004585891,-2.88887442727
521640000000,49.1866053543,9.03314859666,-2.89289000878
521741000000,49.1175698177,9.0153669158,-2.90071067637
521840000000,49.0137244557,8.9898575408,-2.91543255999
521940000000,48.9442764722,8.97376215104,-2.9270437617
522041000000,48.8397522051,8.95119721038,-2.94561712236
522140000000,48.7698432487,8.93723944918,-2.95790752364
522240000000,48.6646779772,8.91787982305,-2.97531356038
522340000000,48.5943962428,8.90593962639,-2.98511259403
522440000000,48.4887806514,8.88920695292,-2.99709203384
522540000000,48.4182764049,8.87866146338,-3.00030142126
522640000000,48.3123858854,8.86377579001,-2.99615032459
522740000000,48.2418153382,8.85368207248,-2.9883030453
522840000000,48.1361369175,8.8373531652,-2.97356252942
522940000000,48.0658337589,8.82554064372,-2.96191968388
523040000000,47.9606602569,8.8062274634,-2.94333372785
523140000000,47.8907529007,8.79226222983,-2.9310309014
523240000000,47.7862195496,8.76973946059,-2.91357630606
523340000000,47.7167442689,8.75376246562,-2.9037103721
523440000000,47.6128081608,8.728624856,-2.89158301823
523540000000,47.5436603712,8.71128517289,-2.88807379191
523641000000,47.4401887861,8.68430358286,-2.89177098797
523740000000,47.3711739711,8.66644165313,-2.8995010766
523841000000,47.2673609995,8.64080075042,-2.91411453761
523940000000,47.1979342107,8.62461419605,-2.92573679121
524040000000,47.0934390594,8.60191486421,-2.9443745646
524140000000,47.023546815,8.58787369491,-2.95680553205
524240000000,46.9184004241,8.56841200983,-2.97453523197
524340000000,46.8481263127,8.55642708545,-2.98469852029
524440000000,46.7425124198,8.53968405971,-2.99743134415
524540000000,46.6720051476,8.52915707633,-3.0019113268
524640000000,46.5660814214,8.5145112478,-2.9994480745
524740000000,46.495475064,8.50467102187,-2.99218386881
524840000000,46.3897294326,8.48878272185,-2.97801495127
524940000000,46.3193731433,8.47729078691,-2.96656177864
525040000000,46.2141107518,8.45846806736,-2.94793947011
525140000000,46.1441414068,8.44481684572,-2.93529495864
525240000000,46.039520632,8.42270419073,-2.91700940599
525341000000,45.9699963924,8.40694169937,-2.90625799955
525440000000,45.8660159447,8.38198877181,-2.89230626774
525540000000,45.7968707753,8.36463838638,-2.88622753271
525640000000,45.6934886398,8.33731916256,-2.8853964285
525740000000,45.6246027985,8.31896642138,-2.89127518589
525840000000,45.5210246513,8.29239226399,-2.90431527709
525940000000,45.451764725,8.27550590554,-2.91535842256
526041000000,45.3475152775,8.25170343706,-2.93373240837
526140000000,45.2777741182,8.23693018399,-2.94669529701
526240000000,45.1728172892,8.21647180576,-2.96596841681
526341000000,45.1026400449,8.2039323479,-2.97785185176
526440000000,44.9971177862,8.18662308392,-2.99409194907
526540000000,44.9266291904,8.17597173131,-3.00267251111
526640000000,44.8207522282,8.16098051105,-3.01203573466
526740000000,44.7500317877,8.15200508237,-3.01049161587
526840000000,44.6439781372,8.13832010688,-3.00134115293
526941000000,44.573356547,8.12858980182,-2.99420260282
527040000000,44.5380722512,8.12353565297,-2.99063332335
527140000000,44.5380722726,8.12353565621,-2.99063332424
527240000000,44.5380723046,8.12353566104,-2.99063332432
527340000000,44.5380723259,8.12353566425,-2.99063332431
527440000000,44.5380723579,8.12353566907,-2.99063332429
527541000000,44.4852795203,8.11509557014,-2.95662731045
527640000000,44.3806993015,8.09287530759,-2.88859259472
527740000000,44.3119232206,8.07413288629,-2.8432361176
527840000000,44.2105287905,8.04022224106,-2.77520140199
527940000000,44.111674255,7.99949702702,-2.70716668647
528040000000,44.0473944136,7.96868202325,-2.66289066849
528140000000,43.9845238913,7.93508421288,-2.62031304206
528240000000,43.8929800664,7.87984602875,-2.5589485773
528340000000,43.8338645274,7.84000903017,-2.52048096776
528440000000,43.748079592,7.77618726803,-2.466444215
528540000000,43.6928002439,7.73117674111,-2.43279435946
528640000000,43.6127220683,7.66032256923,-2.38499510558
528740000000,43.561192652,7.6110623,-2.35608318853
528840000000,43.4865131237,7.53453530473,-2.31597905095
528940000000,43.4383832201,7.48194766747,-2.29242533507
529041000000,43.3684188269,7.40108415982,-2.26066390894
529140000000,43.3231293773,7.34603064136,-2.24316826076
529240000000,43.2568637014,7.2621067546,-2.22123133783
529340000000,43.2135961774,7.20544987788,-2.2116104472
529440000000,43.1495059733,7.11985201081,-2.20577068279
529540000000,43.1073211667,7.06238507581,-2.21218381787
529640000000,43.0432975979,6.97673733009,-2.22840963936
529740000000,42.9997688323,6.92028097644,-2.2420324851
529841000000,42.9329618422,6.83678722994,-2.26447966433
529940000000,42.8873646898,6.78198796718,-2.28026390606
530040000000,42.8173602003,6.7011565346,-2.30362801459
530140000000,42.7696782549,6.64816122578,-2.31781242546
530240000000,42.6968250021,6.56988679506,-2.33695972203
530340000000,42.6474894392,6.51842718192,-2.34692186758
530440000000,42.5726566396,6.44204196522,-2.35776980805
530540000000,42.5219948901,6.39188886498,-2.35599511049
530641000000,42.4462145088,6.31644365418,-2.34597742052
530740000000,42.3962025292,6.26564128552,-2.33591456272
530840000000,42.3222444321,6.18840986124,-2.31827378684
530940000000,42.273738373,6.13616789163,-2.30506695803
531040000000,42.2023081914,6.05659309464,-2.28490054991
531140000000,42.1555699847,6.0027636813,-2.27232442247
531240000000,42.0866884366,5.92097225005,-2.25511127152
531340000000,42.0414998305,5.86583539249,-2.2460118944
531440000000,41.9745413309,5.78246148972,-2.23599724406
531541000000,41.9307363265,5.72622035009,-2.23757572539
531640000000,41.8648331567,5.64200968033,-2.24682333547
531740000000,41.8203751479,5.58628198637,-2.25623107422
531841000000,41.7526122883,5.50356111914,-2.27280117257
531940000000,41.7066421426,5.44907418945,-2.28524376477
532040000000,41.6363987375,5.36844944646,-2.30429244185
532140000000,41.5887370337,5.31543581877,-2.31615336631
532240000000,41.5161232361,5.23693872446,-2.3323205821
532340000000,41.4670637169,5.18521584301,-2.3407161786
532440000000,41.3927786446,5.10829771488,-2.3495497991
532540000000,41.3425465753,5.05771420111,-2.34727883405
532640000000,41.2674255776,4.98161239253,-2.33747455771
532740000000,41.2178382053,4.93039546725,-2.32792503238
532840000000,41.1444628062,4.85261004058,-2.31137275352
532940000000,41.0962986216,4.80005265819,-2.29906955573
533041000000,41.0252948964,4.72009682723,-2.28036247697
533140000000,40.978778196,4.66607582777,-2.26880964564
533240000000,40.9101256711,4.58409182527,-2.25320163924
533340000000,40.8650147041,4.52889139411,-2.24530417425
533440000000,40.7980381828,4.44553182519,-2.23747996305
533541000000,40.7541152038,4.38938261156,-2.24042129766
533640000000,40.687914963,4.3054053551,-2.25095377648
533740000000,40.6432152443,4.24987136082,-2.26075750533
533840000000,40.5750686779,4.16746633699,-2.27753687283
533940000000,40.5288414178,4.11319737142,-2.28989745864
534040000000,40.4582359021,4.03288948153,-2.30854885195
534141000000,40.4103577958,3.98007119516,-2.31997138309
534240000000,40.3374737463,3.90182484638,-2.33527986542
534341000000,40.2882764362,3.85023300227,-2.34292143079
534440000000,40.2138769707,3.77342543736,-2.34998893871
534540000000,40.1636523245,3.72283448336,-2.34672349931
534640000000,40.0886188858,3.64664644842,-2.33575232578
534740000000,40.0391309853,3.59533342128,-2.32575064648
534840000000,39.9659427931,3.51737190169,-2.3087362067
534940000000,39.9179214051,3.46468402238,-2.29630781322
535041000000,39.8471395758,3.38453168579,-2.27761602038
535141000000,39.800768205,3.33038587664,-2.26622252707
535240000000,39.7323154632,3.24823493932,-2.25097317573
535340000000,39.6873208571,3.19293961283,-2.24341826888
535440000000,39.6204678514,3.10948090466,-2.23659826342
535540000000,39.5765789204,3.05330500697,-2.24013333832
535640000000,39.5103777704,2.96932850953,-2.25127403338
535740000000,39.4656529403,2.91381474383,-2.26136101437
535840000000,39.3974435591,2.83146175412,-2.27847382581
